lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100308,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1484.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1484.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1503,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Maria auf der Rasenbank, das Kind stillend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1484,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100308,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1484]&showtype=record'],Expression Creation,['Kupferstich'],"['M.u. Dürer-Monogramm ""AD""; M.o. ""1503""']",[]
gnd2012512-4/lido/tms_100310,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1479.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1479.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1500,1500,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die heilige Anna und Maria mit dem Kinde, stehend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1479,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100310,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1479]&showtype=record'],Carrier production,"['Wasserzeichen: Ochsenkopf mit Stange, Blume und Dreieck (ähnlich Briquet 14873 [nachgewiesen 1483]; Strauss S. 3278 [verwendet 1486-1505]; Meder 62 [verwendet für Kupferstiche und Holzschnitte bis 1519]; vgl. Piccard online 66052 ff., Süddeutschland und Tirol ab 1485)', 'Kupferstich']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100311,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1493.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1493.JPG,Druckgraphik; Druckgraphik,Kaltnadel; Kaltnadel (Druckverfahren); Kaltnadel (Druckverfahren),,1512,1513,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Heilige Familie, sechsfigurig",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1493,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100311,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1493]&showtype=record'],Expression Creation,['Kaltnadel'],[],[]
gnd2012512-4/lido/tms_100312,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1488.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1488.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1520,1520,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Die Jungfrau mit dem Wickelkind,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1488,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100312,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1488]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1520"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100313,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_178.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_178.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1495,1505,,Anonym,,Künstler_in,0,0,Wien,Die Dornenkrönung Christi (aus der Albertina-Passion),,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/178,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100313,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/178]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 327', 'Holzschnitt']",[],[]
gnd2012512-4/lido/tms_100314,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1500.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1500.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1521,1521,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der heilige Christophorus mit zurückgewandtem Kopf,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1500,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100314,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1500]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1521"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100315,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_179.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_179.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1495,1505,,Anonym,,Künstler_in,0,0,Wien,Die Dornenkrönung Christi (aus der Albertina-Passion),,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/179,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100315,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/179]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 327', 'Holzschnitt']","['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100316,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1501.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1501.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1521,1521,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der heilige Christophorus, nach rechts schauend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1501,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100316,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1501]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1521"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100317,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_184.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_184.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1496,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Schmerzensmann und der Landsknecht (Große Passion, Titelblatt)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/184,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100317,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/184]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
gnd2012512-4/lido/tms_100319,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1486.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1486.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1519,1519,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Maria, das Kind stillend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1486,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100319,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1486]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1519"" und Dürer-Monogramm ""AD""']",[]
