lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_10070,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/10212.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/10212.JPG,Zeichnung; Zeichnung,,,1628,1651,,"Backer, Jacob Adriaensz",,Künstler_in,1608,1651,Wien,"Kniestück eines Mannes mit Hut und Mantel, vor einem Tisch sitzend",,https://creativecommons.org/publicdomain/mark/1.0/,10212,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10070,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[10212]&showtype=record'],Production,"['Schwarze und weiße Kreide, auf blauem Papier']",['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_10072,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26220.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26220.JPG,Zeichnung; Zeichnung,Kohle; Kohle,,1635,1660,,"Flinck, Govaert",,Künstler_in,1615,1660,Wien,Kniestück eines jungen Mannes,,https://creativecommons.org/publicdomain/mark/1.0/,26220,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10072,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26220]&showtype=record'],Production,['Kohle'],"['r.u. ""G.Finck.f""']",[]
gnd2012512-4/lido/tms_100767,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_408.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_408.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1504,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Beschneidung Christi (Marienleben, 11)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/408,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100767,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/408]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (Meder 20; Strauss ""High Crown"")', 'Holzschnitt']","['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100769,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_404.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_404.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1503,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Heimsuchung (Marienleben, 9)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/404,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100769,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/404]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 309', 'Holzschnitt']","['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100770,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_406.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_406.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1502,1502,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Geburt Christi (Anbetung der Hirten) (Marienleben, 10)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/406,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100770,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/406]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100771,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_419.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_419.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1503,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der zwölfjährige Jesus im Tempel (Marienleben, 16)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/419,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100771,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/419]&showtype=record'],Carrier production,"['Wasserzeichen: Ochsenkopf mit Stange, Blume und Dreieck (ähnlich Briquet 14873 [nachgewiesen 1483]; Strauss S. 3278 [verwendet 1486-1505]; Meder 62 [verwendet für Kupferstiche und Holzschnitte bis 1519]; vgl. Piccard online 66052 ff., Süddeutschland und Tirol ab 1485)', 'Holzschnitt']","['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100772,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_422.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_422.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1499,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus nimmt Abschied von seiner Mutter (Marienleben, 17)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/422,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100772,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/422]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100773,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_416.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_416.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1499,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Flucht nach Ägypten (Marienleben, 14)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/416,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100773,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/416]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 39?', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100774,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_415.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_415.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1499,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Flucht nach Ägypten (Marienleben, 14)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/415,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100774,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/415]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 56', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100775,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_474.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_474.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren); koloriert; koloriert; koloriert,,1501,1501,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Roswitha von Gandersheim überreicht Kaiser Otto I. die von ihr verfasset Chronik ""Gesta Oddonis"" (Holzschnitt zu Conrad Celtis, ""Opera Hrosvite illystris virginis ..."", Nürnberg 1501, fol. A4v)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/474,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100775,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/474]&showtype=record'],Expression Creation,"['Holzschnitt, koloriert']",[],[]
gnd2012512-4/lido/tms_100776,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_417.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_417.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1497,1507,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Aufenthalt in Ägypten (Marienleben, 15)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/417,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100776,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/417]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 31', 'Holzschnitt']","['r.u. Dürer-Monogramm ""AD""']",[]
