lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100003,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_207.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_207.JPG,Druckgraphik; Druckgraphik,,,1657,1657,,"Rembrandt, Harmensz van Rijn",,Künstler_in,1606-07-15,1669-10-04,Wien,"Der heilige Franziskus, bei einem Baum betend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/207,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100003,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/207]&showtype=record'],Expression Creation,['Kaltnadel; Japanpapier; ungleichmäßiger Plattenton'],"['r.u. ""Rembrandt f. 1657""']",[]
gnd2012512-4/lido/tms_100572,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1955_238.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1955_238.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1550,1600,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Die große Kreuzigung,,https://creativecommons.org/publicdomain/mark/1.0/,DG1955/238,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100572,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1955/238]&showtype=record'],Expression Creation,['Kupferstich'],[],[]
gnd2012512-4/lido/tms_101041,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_123.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_123.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1515,1515,,"Burgkmair, Hans",,Künstler_in,1473,1531,Wien,Das Rhinozeros,,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/123,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101041,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/123]&showtype=record'],Carrier production,"['Wasserzeichen: Wasserzeichen auf der Rückseite des Cahierblattes kopiert', 'Holzschnitt']","['r.u. ""HB"", l.o. "" (...) MDXV""']",[]
gnd2012512-4/lido/tms_10115,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3805.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3805.JPG,Zeichnung; Zeichnung,Bleigriffel; Bleigriffel,,1686,1742,,"Rugendas, Georg Philipp",,Künstler_in,1666-11-27,1742-05-09,Wien,Hufschmied,,https://creativecommons.org/publicdomain/mark/1.0/,3805,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10115,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[3805]&showtype=record'],Production,['Bleigriffel'],['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_10154,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4285.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4285.JPG,Zeichnung; Zeichnung,Feder; Feder; laviert; laviert,,1719,1741,,"Sperling, Catharina",,Künstler_in,1699-04-10,1741-05-28,Wien,Moden der Stadt Augsburg (36 Kostümblattentwürfe): Demoiselle sortant en hiver,,https://creativecommons.org/publicdomain/mark/1.0/,4285,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10154,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[4285]&showtype=record'],Production,"['Feder in Grau, laviert']",['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_10157,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4302.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4302.JPG,Zeichnung; Zeichnung,Feder; Feder; laviert; laviert,,1719,1741,,"Sperling, Catharina",,Künstler_in,1699-04-10,1741-05-28,Wien,Moden der Stadt Augsburg (36 Kostümblattentwürfe): Huissier du Bourgemaitre,,https://creativecommons.org/publicdomain/mark/1.0/,4302,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10157,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[4302]&showtype=record'],Production,"['Feder in Grau, laviert']","['u. ""Huissier du Bourgemaitre.""', 'l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)']",[]
gnd2012512-4/lido/tms_101892,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_288r.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_288r.jpg,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1490,1553,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Die Madonna mit Kind,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/288r,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101892,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/288r]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
gnd2012512-4/lido/tms_102088,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_380.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_380.jpg,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1490,1553,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Die Kreuzigung,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/380,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_102088,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/380]&showtype=record'],Expression Creation,['Holzschnitt'],['r.u. Cranachsignet (geflügelte Schlange)'],[]
gnd2012512-4/lido/tms_102109,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_461.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_461.jpg,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1535,1541,,"Cranach, Lucas, der Jüngere",,Künstler_in,1515-10-04,1586-01-25,Wien,Der Evangelist Markus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/461,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_102109,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/461]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
gnd2012512-4/lido/tms_102113,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_464.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_464.jpg,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1535,1541,,"Cranach, Lucas, der Jüngere",,Künstler_in,1515-10-04,1586-01-25,Wien,Der Apostel Paulus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/464,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_102113,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/464]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
