lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100453,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1539.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1539.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1495,1496,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Die sechs Kriegsleute,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1539,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100453,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1539]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Kupferstich']","['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100580,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_327.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_327.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus in der Vorhölle (Kleine Passion, 26)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/327,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100580,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/327]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 172', 'Holzschnitt']","['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100581,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1353.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1353.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus vor Pilatus (Kupferstich-Passion, 5)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1353,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100581,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1353]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1512"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100583,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1354.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1354.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Geißelung (Kupferstich-Passion, 6)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1354,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100583,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1354]&showtype=record'],Expression Creation,['Kupferstich'],"['l.o. ""1512"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100585,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1355.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1355.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Dornenkrönung (Kupferstich-Passion, 7)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1355,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100585,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1355]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. Dürer-Monogramm ""AD"", r.o. ""1512""']",[]
gnd2012512-4/lido/tms_100589,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_332.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_332.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus erscheint seiner Mutter (Kleine Passion, 31)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/332,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100589,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/332]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 172', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD"" (D seitenverkehrt)']",[]
gnd2012512-4/lido/tms_100592,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1359.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1359.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1511,1511,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus am Kreuz (Kupferstich-Passion, 11)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1359,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100592,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1359]&showtype=record'],Carrier production,"['Wasserzeichen: Ochsenkopf mit Stange, Blume und Dreieck (ähnlich Briquet 14873 [nachgewiesen 1483]; Strauss S. 3278 [verwendet 1486-1505]; Meder 62 [verwendet für Kupferstiche und Holzschnitte bis 1519]; vgl. Piccard online 66052 ff., Süddeutschland und Tirol ab 1485)', 'Kupferstich']","['r.u. Dürer-Monogramm ""AD"", l.u. ""1511""']",[]
gnd2012512-4/lido/tms_100593,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1360.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1360.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1507,1507,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Beweinung (Kupferstich-Passion, 12)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1360,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100593,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1360]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1507"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100594,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_253.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_253.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Dornenkrönung (Kleine Passion, 19)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/253,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100594,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/253]&showtype=record'],Expression Creation,['Holzschnitt'],"['l.u. Dürer-Monogramm ""AD""', 'außerhalb der Platte: l.u. ""34""', 'r.u. Paginierung ""Ciij""']",[]
gnd2012512-4/lido/tms_100596,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1362.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1362.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus in der Vorhölle (Kupferstich-Passion, 14)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1362,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100596,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1362]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. Dürer-Monogramm ""AD"", M.o. ""1512""']",[]
