lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100442,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1528.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1528.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1501,1501,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Nemesis (Das große Glück),,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1528,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100442,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1528]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Kupferstich']","['R. u. auf einem Täfelchen: ""AD"" (ligiert)']",[]
gnd2012512-4/lido/tms_100443,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1547.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1547.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1505,1505,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Kleine Pferd,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1547,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100443,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1547]&showtype=record'],Expression Creation,['Kupferstich'],"['M.u. Dürer-Monogramm ""AD"", M.o. ""1505""']",[]
gnd2012512-4/lido/tms_100444,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1531.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1531.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1496,1496,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Galoppierender Reiter,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1531,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100444,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1531]&showtype=record'],Expression Creation,['Kupferstich'],"['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_10079,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3549.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3549.JPG,Zeichnung; Zeichnung,,,1642,1674,,"Lingelbach, Johannes",,Künstler_in,1622,1674,Wien,Ein Kaufherr erteilt bei der Verfrachtung seiner Waren auf ein Boot Weisungen,,https://creativecommons.org/publicdomain/mark/1.0/,3549,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10079,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[3549]&showtype=record'],Production,"['Feder in Braun, Pinsel in Grau, laviert']","['M.u. "" I.Lingelbach""']",[]
gnd2012512-4/lido/tms_100825,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_501.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_501.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1525,1525,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Zeichner der Laute (Holzschnitt zu Albrecht Dürer, Unterweisung der Messung, Nürnberg 1525, fol. Q3r)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/501,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100825,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/501]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.o. ""1525"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100826,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_175.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_175.JPG,Druckgraphik; Druckgraphik,,,1501,1501,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der heilige Sebaldus auf der Säule (Flugblatt mit der Ode des Celtis an den heiligen Sebaldus),,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/175,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100826,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/175]&showtype=record'],Expression Creation,"['Holzschnitt und Typendruck, koloriert']",[],[]
gnd2012512-4/lido/tms_100827,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_502.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_502.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1525,1525,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Zeichner der Kanne,,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/502,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100827,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/502]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
gnd2012512-4/lido/tms_100828,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_503.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_503.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1525,1525,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Zeichner des weiblichen Modells (Holzschnitt zu Albrecht Dürer, Unterweisung der Messung, Nürnberg 1525, fol. Q3v)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/503,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100828,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/503]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
gnd2012512-4/lido/tms_100829,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_525.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_525.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1497,1507,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Bücherzeichen des Willibald Pirckheimer,,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/525,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100829,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/525]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 197', 'Holzschnitt']",[],[]
gnd2012512-4/lido/tms_100843,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_89.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_89.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Burgkmair, Hans",,Künstler_in,1473,1531,Wien,Die Hoffnung,,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/89,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100843,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/89]&showtype=record'],Expression Creation,['Holzschnitt'],[],[]
