lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName,nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_40450,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/28202.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/28202.JPG,Zeichnung; Zeichnung,,,1852,1888,,"Gaul, Gustav",,Künstler_in,1836-02-06,1888-09-07,Wien,Kompositionsentwurf,,https://creativecommons.org/publicdomain/mark/1.0/,28202,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40450,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[28202]&showtype=record'],Production,"['Kreide, Feder, Tusche, Bleistift']",[],[]
gnd2012512-4/lido/tms_40451,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26333.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26333.JPG,Zeichnung; Zeichnung,,,1520,1560,,Anonym,,Künstler_in,0,0,Wien,Handstudien,,https://creativecommons.org/publicdomain/mark/1.0/,26333,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40451,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26333]&showtype=record'],Production,['Schwarze Kreide'],['kein Sammlerstempel'],[]
gnd2012512-4/lido/tms_40454,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/28200.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/28200.JPG,Zeichnung; Zeichnung,Aquarell; Aquarell (Farbe),,1857,1857,,"Gaul, Gustav",,Künstler_in,1836-02-06,1888-09-07,Wien,Mytologische Szene; Rast unter einem Baum,,https://creativecommons.org/publicdomain/mark/1.0/,28200,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40454,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[28200]&showtype=record'],Production,['Aquarell'],"['l.u. ""28200.""']",[]
gnd2012512-4/lido/tms_40456,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/6208.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/6208.JPG,Zeichnung; Zeichnung,,,1830,1865,,"Rahl, Carl",,Künstler_in,1812-08-13,1865-07-09,Wien,Studie zu einer Maria,,https://creativecommons.org/publicdomain/mark/1.0/,6208,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40456,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[6208]&showtype=record'],Production,['Schwarze und weiße Kreide auf blauem Naturpapier'],"['r.u. ""Rahl""']",[]
gnd2012512-4/lido/tms_40814,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_114r.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_114r.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/114r,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40814,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/114r]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
gnd2012512-4/lido/tms_40816,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_114v.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_114v.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/114v,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40816,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/114v]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
gnd2012512-4/lido/tms_40817,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_115r.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_115r.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/115r,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40817,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/115r]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
gnd2012512-4/lido/tms_40819,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_115v.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_115v.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/115v,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40819,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/115v]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
gnd2012512-4/lido/tms_40820,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_116r.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_116r.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/116r,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40820,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/116r]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
gnd2012512-4/lido/tms_40822,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_116v.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/26232_116v.jpg,Zeichnung; Zeichnung,Feder; Feder,,1512,1512,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Das Ring- und Fechtbuch,,https://creativecommons.org/publicdomain/mark/1.0/,26232/116v,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_40822,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[26232/116v]&showtype=record'],Production,"['Feder, leicht aquarelliert']",[],[]
