lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_10004,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3737.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3737.JPG,Zeichnung; Zeichnung,Kohle; Kohle,,1673,1713,,"Meyer, Felix",,Künstler_in,1653-02-01,1713-06-11,Wien,Geröll an Berghang vor Wasserfall,,https://creativecommons.org/publicdomain/mark/1.0/,3737,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10004,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[3737]&showtype=record'],Production,['Kohle'],['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_100328,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_172.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_172.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_172t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_172t.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1494,1494,,Baseler Meister,,Künstler_in,0,0,Wien,"Narr und junger Mann (Holzschnitt aus Sebastian Brants ""Narrenschiff"", 1494, Bl. a7 verso, ""Von neuen Funden"")",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1934/172,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100328,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/172]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. "".1.4.9.4.""', 'in der Bandrolle ""vly. von stouffen frisch und vage schaffen""; M. "".VeLI."";']",[]
gnd2012512-4/lido/tms_100881,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_5t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_5t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_5.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_5.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1491,1501,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Geißelung Christi (Große Passion, 5)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/5,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100881,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/5]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'M.o. außerhalb der Platte ""25""']",[]
gnd2012512-4/lido/tms_100882,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_6t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_6t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_6.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_6.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1493,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Schaustellung Christi (Große Passion, 6)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/6,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100882,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/6]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'M.o. außerhalb der Platte ""26""']",[]
gnd2012512-4/lido/tms_100883,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_7t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_7t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_7.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_7.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1493,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Kreuztragung Christi (Große Passion, 7)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/7,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100883,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/7]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'M.o. außerhalb der Platte ""27""']",[]
gnd2012512-4/lido/tms_100884,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_8t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_8t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_8.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_8.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1493,1503,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus am Kreuz (Große Passion, 8)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/8,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100884,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/8]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'M.o. außerhalb der Platte ""28""']",[]
gnd2012512-4/lido/tms_100885,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_9t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_9t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_9.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_9.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus in der Vorhölle (Große Passion, 11)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/9,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100885,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/9]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u.Dürer-Monogramm ""AD""; M.r. ""1510""', 'M.o. außerhalb der Platte ""29""']",[]
gnd2012512-4/lido/tms_100887,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_11t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_11t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_11.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_11.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1491,1501,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Grablegung Christi (Große Passion, 10)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/11,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100887,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/11]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'M.o. außerhalb der Platte ""31""']",[]
gnd2012512-4/lido/tms_100888,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_12t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_12t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_12.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_15_12.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Auferstehung Christi (Große Passion, 12)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/15/12,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100888,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/15/12]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""; M.u. ""1510""', 'M.o. außerhalb der Platte ""32""']",[]
gnd2012512-4/lido/tms_100889,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_14_1t.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_14_1t.JPG; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_14_1.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1994_14_1.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1511,1511,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Jungfrau erscheint Johannes (Apokalypse, Titelblatt)",,https://creativecommons.org/publicdomain/mark/1.0/; https://creativecommons.org/publicdomain/mark/1.0/,DG1994/14/1,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100889,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1994/14/1]&showtype=record'],Expression Creation,['Holzschnitt'],"['verso ""K.K.Hofbibliothek""']",[]
