lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100550,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_263.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_263.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Beweinung Christi (Kleine Passion, 28)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/263,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100550,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/263]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'r.u. Paginierung ""Diiij""']",[]
gnd2012512-4/lido/tms_100554,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_271.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_271.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Sendung des Heiligen Geistes (Kleine Passion, 36)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/271,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100554,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/271]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""', 'r.u. Paginierung ""Eiiij""']",[]
gnd2012512-4/lido/tms_100555,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_272.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_272.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Das Jüngste Gericht (Kleine Passion, 37)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/272,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100555,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/272]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100557,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_222.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_222.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1509,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Kreuztragung (Kleine Passion, 22)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/222,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100557,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/222]&showtype=record'],Carrier production,"['Wasserzeichen: Wz unleserlich', 'Holzschnitt']","['r.u. ""1509"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100558,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_223.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_223.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Veronika zwischen den Heiligen Peter und Paul (Kleine Passion, 23)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/223,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100558,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/223]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 143 ähnlich', 'Holzschnitt']","['M.u. Dürer-Monogramm ""AD""; M.o. ""1510""']",[]
gnd2012512-4/lido/tms_100559,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_224.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_224.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus wird an das Kreuz genagelt (Kleine Passion, 24)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/224,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100559,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/224]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100561,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_226.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_226.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Grablegung (Kleine Passion, 29)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/226,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100561,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/226]&showtype=record'],Expression Creation,['Holzschnitt'],"['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100564,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_339.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_339.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1503,1513,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus am Ölberg (Kleine Passion, verworfenes Blatt)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/339,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100564,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/339]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100566,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_235.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_235.JPG,Druckgraphik; Druckgraphik,,,1506,1516,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Schmerzensmann (Kleine Passion, Titelblatt)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/235,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100566,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/235]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Holzschnitt, Typendruck']","['M.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100568,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_237.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_237.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Vertreibung aus dem Paradies (Kleine Passion, 3)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/237,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100568,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/237]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.o. ""1510"" und Dürer-Monogramm ""AD""', 'r.u. Paginierung ""Aiij""']",[]
