lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100520,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_218.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_218.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1509,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus vor Herodes (Kleine Passion, 17)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/218,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100520,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/218]&showtype=record'],Expression Creation,['Holzschnitt'],"['l.u. ""1509"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100537,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_227.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_227.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Auferstehung (Kleine Passion, 30)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/227,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100537,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/227]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100538,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_228.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_228.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus erscheint seiner Mutter (Kleine Passion, 31)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/228,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100538,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/228]&showtype=record'],Expression Creation,['Holzschnitt'],"['l.u. Dürer-Monogramm ""AD"" (D seitenverkehrt)']",[]
gnd2012512-4/lido/tms_100539,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_229.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_229.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus erscheint Magdalena (Kleine Passion, 32)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/229,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100539,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/229]&showtype=record'],Carrier production,"['Wasserzeichen: Meder Ochsenkopf', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100540,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_230.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_230.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus in Emaus (Kleine Passion, 33)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/230,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100540,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/230]&showtype=record'],Carrier production,"['Wasserzeichen: Ochsenkopf mit Stange, Blume und Dreieck (ähnlich Briquet 14873 [nachgewiesen 1483]; Strauss S. 3278 [verwendet 1486-1505]; Meder 62 [verwendet für Kupferstiche und Holzschnitte bis 1519]; vgl. Piccard online 66052 ff., Süddeutschland und Tirol ab 1485)', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100541,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_231.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_231.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der ungläubige Thomas (Kleine Passion, 34)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/231,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100541,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/231]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Holzschnitt']","['r.o. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100542,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_232.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_232.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1505,1515,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Himmelfahrt (Kleine Passion, 35)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/232,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100542,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/232]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (vgl. Briquet 4892-4902 [nachgewiesen 1484-1520]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Holzschnitt']","['l.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100543,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_259.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_259.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus wird an das Kreuz genagelt (Kleine Passion, 24)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/259,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100543,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/259]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""', 'l.u. ""39""']",[]
gnd2012512-4/lido/tms_100544,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_260.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_260.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus am Kreuz (Kleine Passion, 25)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/260,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100544,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/260]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""', 'r.u. Paginierung ""D""']",[]
gnd2012512-4/lido/tms_100546,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_261.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_261.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1504,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus in der Vorhölle (Kleine Passion, 26)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/261,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100546,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/261]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""', 'r.u. Paginierung ""Dij""']",[]
