lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100525,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_323.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_323.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1509,1509,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Die Kreuztragung (Kleine Passion, 22)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/323,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100525,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/323]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. ""1509"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100526,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_324.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_324.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Veronika zwischen den Heiligen Peter und Paul (Kleine Passion, 23)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/324,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100526,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/324]&showtype=record'],Expression Creation,['Holzschnitt'],"['M.u. Dürer-Monogramm ""AD""; M.o. ""1510""']",[]
gnd2012512-4/lido/tms_100529,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_203.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_203.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1510,1510,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der Sündenfall (Kleine Passion, 2)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/203,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100529,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/203]&showtype=record'],Carrier production,"['Wasserzeichen: Meder 56 ?', 'Holzschnitt']","['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_10125,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3799.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3799.JPG,Zeichnung; Zeichnung,,,1686,1742,,"Rugendas, Georg Philipp",,Künstler_in,1666-11-27,1742-05-09,Wien,Reiter mit Saumpferden,,https://creativecommons.org/publicdomain/mark/1.0/,3799,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10125,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[3799]&showtype=record'],Production,['Feder in Lichtbraun'],[],[]
gnd2012512-4/lido/tms_101271,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_78.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_78.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1520,1520,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Martin Luther als Augustinermönch,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/78,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101271,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/78]&showtype=record'],Carrier production,"['Wasserzeichen: Dreieck, in drei Felder aufgeteilt und mit ebenso vielen Punkten belegt, darüber eine einkonturige Stange mit zwei Kreuzsprossen. Rest des Ochsenkopfwasserzeichens Briquet 14873, um 1500. Im Cahier irrtümlich angegeben: Briquet 1607.', 'Kupferstich']","['u. "".M.D.X.X. [1520]"" mit Schlangensignet', 'u.""AETHERNA IPSE SVAE MENTIS SIMVLACHRA LVTHERVS / EXPRIMIT . AT VVLTVS CERA LVCAE OCCIDVOS / .M.D.X.X.""']",[]
gnd2012512-4/lido/tms_101277,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_81.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_81.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1521,1521,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Martin Luther im Profil mit Doktorhut,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/81,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101277,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/81]&showtype=record'],Expression Creation,['Kupferstich'],"['u. ""MDXXI [1521]"" mit Schlangensignet', 'u. ""LVCAE OPVS EFFIGIES HAEC EST MORITVRA LVTHERI / AETHERNAM MENTIS EXPRIMIT IPSE SVAE / M D X X I""']",[]
gnd2012512-4/lido/tms_101285,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_71.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_71.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1512,1512,,"Baldung Grien, Hans",,Künstler_in,1484,1545,Wien,Der kleine heilige Sebastian,,https://creativecommons.org/publicdomain/mark/1.0/,DG1931/71,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101285,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1931/71]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. ""HBG / 1512""']",[]
gnd2012512-4/lido/tms_101346,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_90.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_90.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1534,1534,,"Baldung Grien, Hans",,Künstler_in,1484,1545,Wien,Hengst und rossige Stute,,https://creativecommons.org/publicdomain/mark/1.0/,DG1931/90,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101346,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1931/90]&showtype=record'],Carrier production,"['Wasserzeichen: Wasserzeichen undeutlich', 'Holzschnitt']","['M.u. ""Io BALDUNG FECIT / 1534""']",[]
gnd2012512-4/lido/tms_101347,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_91.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_91.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1534,1534,,"Baldung Grien, Hans",,Künstler_in,1484,1545,Wien,Hengst und abschlagende Stute,,https://creativecommons.org/publicdomain/mark/1.0/,DG1931/91,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101347,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1931/91]&showtype=record'],Carrier production,"['Wasserzeichen: Wasserzeichen auf der Rückseite des Cahierblattes kopiert', 'Holzschnitt']","['r.u. ""BALDUNG FECIT / 1534""']",[]
gnd2012512-4/lido/tms_101348,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_85.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1931_85.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1515,1515,,"Baldung Grien, Hans",,Künstler_in,1484,1545,Wien,Aristoteles und Phyllis,,https://creativecommons.org/publicdomain/mark/1.0/,DG1931/85,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101348,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1931/85]&showtype=record'],Carrier production,"['Wasserzeichen: Wasserzeichen auf der Rückseite des Cahierblattes kopiert', 'Holzschnitt']","['l..u. ""HGB / 1515""']",[]
